id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,Stems,BA,DBH1,DBH2,DBH3,DBH4,DBH5,DBH6,Ht,Plot,Canker13,Nline,NEline,Eline,SEline,Sline,SWline,Wline,NWline,Line_Index,Area_Index,sName2,sName2,N_DBH,NE_DBH,E_DBH,SE_DBH,S_DBH,SW_DBH,W_DBH,NW_DBH,sName3,DBH_Count,cDBH_AVG,DBH_Ratio,Sum_DBH_Ratio1_sD,Sum_DBH_Ratio2_cD,BA_Ratio,Sum_BA_Ratio
11,1,9,9,11,7,3,5.9,2013,U07m,17XGA04,2,0.193,4.4,4,,,,,,33,0,5.4,6.5,4.1,6.4,9,6.5,7.4,5.7,50.92,114.6,17XGA04,17XGA04,3.9,5.7,7.1,5.9,0,5.7,1.3,7.2,17XGA04,7,4.6,1.28,6.24,10.77,1.27,6.29
12,1,9,9,12,7,3,0,2013,U07m,17XGA04,NA,0,,,,,,,,33,0,0,0,0,0,0,0,0,0,0,0,17XGA04,17XGA04,5.9,7.1,5.9,6.5,8.9,0,5.7,1.3,17XGA04,7,5.16,0,0,0,0,0
13,1,9,9,5,10,2,4.8,2013,U07m,17XGA04,3,0.124,3.7,2.4,1.8,,,,,49,0,3.1,6,3.8,5.6,5.1,4.5,3.2,12.7,44.17,74.4,17XGA04,17XGA04,9,5.3,6.5,6.1,3.7,8.7,8.6,0,17XGA04,7,5.99,0.8,9.98,5.37,0.52,15.27
14,1,9,9,6,10,2,3.7,2013,U07m,17XGA04,1,0.075,3.7,,,,,,,49,0,3.9,4.6,3.4,4.5,4,4.2,2.7,3.8,31.19,42.7,17XGA04,17XGA04,4.8,6.5,6.1,6.7,4.6,7.5,8.7,8.6,17XGA04,8,6.69,0.55,14.46,4.65,0.29,27.35
15,1,9,9,7,10,2,4.6,2013,U07m,17XGA04,2,0.115,4.4,1.3,,,,,,49,0,5,5.5,3.7,4.2,5.4,4.2,3.4,4.4,35.85,56.7,17XGA04,17XGA04,3.7,6.1,6.7,9.2,3,9.3,7.5,8.7,17XGA04,8,6.78,0.68,11.78,6.35,0.42,19.28
16,1,9,9,8,10,2,3,2013,U07m,17XGA04,2,0.05,2.7,1.4,,,,,,49,0,3.6,3.9,2.2,12.7,4.1,4.8,2.2,3.6,37.13,54.39,17XGA04,17XGA04,4.6,6.7,9.2,0,3.6,5,9.3,7.5,17XGA04,7,5.74,0.52,15.3,3.58,0.22,36.82
17,1,9,9,9,2,4,4.4,2013,U07m,18XAG04,2,0.107,4.2,1.4,,,,,,8,0,4.4,5.5,2.9,6,3.8,12.7,9,12.7,57.04,146.12,18XAG04,18XAG04,4.7,5.8,9.2,4.9,6,0,0,0,18XAG04,5,3.83,1.15,6.95,3.8,0.77,10.35
18,1,9,9,10,2,4,6,2013,U07m,18XAG04,1,0.196,6,,,,,,,8,0,5.2,5,5,12.7,3.8,12.7,9,12.7,66.16,178.91,18XAG04,18XAG04,4.4,9.2,4.9,0,8.2,0,0,0,18XAG04,4,3.34,1.8,4.45,3.97,1.48,5.42
19,1,9,9,11,2,4,8.2,2013,U07m,18XAG04,2,0.367,5.7,5.9,,,,,,8,0,5.2,8,9,5.7,4.6,12.7,9,12.7,66.96,192.77,18XAG04,18XAG04,6,4.9,0,10.1,7.7,0,0,0,18XAG04,4,3.59,2.29,3.5,4.92,2.43,3.29
20,1,9,9,12,2,4,7.7,2013,U07m,18XAG04,2,0.325,5.7,5.2,,,,,,8,0,4.4,12.7,3.9,6.6,9,6,9,12.7,64.31,165.46,18XAG04,18XAG04,8.2,0,10.1,7.1,0,8.7,0,0,18XAG04,4,4.26,1.81,4.43,3.67,1.61,4.98
21,1,9,9,5,4,1,6.3,2013,U07m,18XAG04,2,0.217,4.8,4.1,,,,,,19,0,9,4.9,9,12.7,4.8,8.4,4.6,5.2,58.52,145.61,18XAG04,18XAG04,0,10.2,0,0,5.6,3.3,6,9.1,18XAG04,5,4.27,1.47,5.43,5.39,1.2,6.68
22,1,9,9,6,4,1,5.6,2013,U07m,18XAG04,1,0.171,5.6,,,,,,,19,0,4.2,12.7,9,12.7,5.5,6.7,5.7,6.1,62.7,172.7,18XAG04,18XAG04,6.3,0,0,0,3.6,5,3.3,6,18XAG04,5,3.02,1.85,4.32,6.19,2.01,3.97
23,1,9,9,7,4,1,3.6,2013,U07m,18XAG04,2,0.069,2.8,2.2,,,,,,19,0,3.5,12.7,9,12.7,3.2,4.9,3.8,6.6,56.44,140.22,18XAG04,18XAG04,5.6,0,0,0,6.6,5.8,5,3.3,18XAG04,5,3.29,1.1,7.31,3.62,0.72,11.15
24,1,9,9,8,4,1,6.6,2013,U07m,18XAG04,2,0.236,6.3,1.9,,,,,,19,0,5.8,12.7,9,7.4,7.1,5.3,4.8,7.2,59.34,158.05,18XAG04,18XAG04,3.6,0,0,4.8,1.8,9.2,5.8,5,18XAG04,6,3.77,1.75,4.58,10.05,1.91,4.19
25,1,9,9,9,6,3,2.5,2013,U07m,18XAG04,1,0.034,2.5,,,,,,,28,0,2.6,5.8,3.1,5,2.3,4.7,3.1,12.7,39.31,55.89,18XAG04,18XAG04,6.1,3,4.7,3.9,7.2,4.3,4.8,0,18XAG04,7,4.25,0.59,13.6,3.87,0.28,28.3
26,1,9,9,10,6,3,7.2,2013,U07m,18XAG04,2,0.282,5.9,4.1,,,,,,28,0,6.7,7.7,5.8,7,7.6,5.4,5.6,7.6,53.53,126.05,18XAG04,18XAG04,2.5,4.7,3.9,5.9,1.3,9.7,4.3,4.8,18XAG04,8,4.64,1.55,5.15,16.93,1.92,4.16
27,1,9,9,11,6,3,1.3,2013,U07m,18XAG04,2,0.009,1.1,0.7,,,,,,28,0,1.4,3.2,1.6,12.7,1.7,1.7,1.1,3,26.32,22.43,18XAG04,18XAG04,7.2,3.9,5.9,0,5.7,8.3,9.7,4.3,18XAG04,7,5.63,0.23,34.62,1.56,0.04,186.88
28,1,9,9,12,6,3,5.7,2013,U07m,18XAG04,1,0.177,5.7,,,,,,,28,0,7.3,6.3,9,5,9,8.4,3.7,4.7,53.36,123.81,18XAG04,18XAG04,1.3,5.9,0,8.9,0,2.9,8.3,9.7,18XAG04,6,4.63,1.23,6.49,9.23,0.91,8.84
29,1,9,9,5,8,2,6,2013,U07m,18XAG04,1,0.196,6,,,,,,,39,0,6.4,12.7,3.7,5.2,6.3,12.7,9,5.4,61.44,161.99,18XAG04,18XAG04,2.4,0,8.6,8.7,2.6,0,0,8.2,18XAG04,5,3.81,1.57,5.08,6.93,1.26,6.37
30,1,9,9,6,8,2,2.6,2013,U07m,18XAG04,1,0.037,2.6,,,,,,,39,0,2.7,3,2.1,3.3,4.9,5.1,9,12.7,42.72,90.77,18XAG04,18XAG04,6,8.6,8.7,7.5,2.2,3.9,0,0,18XAG04,6,4.61,0.56,14.19,3.23,0.21,38.75
31,1,9,9,7,8,2,2.2,2013,U07m,18XAG04,1,0.026,2.2,,,,,,,39,0,4.1,2.6,2,2.4,2.6,5.4,3.2,12.7,35.17,54.01,18XAG04,18XAG04,2.6,8.7,7.5,9.3,5.3,3,3.9,0,18XAG04,7,5.04,0.44,18.32,3.34,0.14,57.33
32,1,9,9,8,8,2,5.3,2013,U07m,18XAG04,3,0.154,4.3,2.8,1.4,,,,,39,0,6.4,5.3,3.3,6.5,3.8,6.7,5.7,7.3,45.06,88.39,18XAG04,18XAG04,2.2,7.5,9.3,5,7.3,4.7,3,3.9,18XAG04,8,5.36,0.99,8.09,9.72,0.83,9.69
33,1,9,9,5,3,1,6,2013,U07m,1XTE04,3,0.194,4.5,3,2.5,,,,,12,0,3.6,12.7,4.4,6.6,5.8,6.4,3.9,8.5,51.79,103.63,1XTE04,1XTE04,9.1,0,6.3,5.6,3.3,6,8,3,1XTE04,7,5.16,1.16,6.88,8.25,1.05,7.6
34,1,9,9,6,3,1,3.3,2013,U07m,1XTE04,1,0.059,3.3,,,,,,,12,0,3.2,4.4,3.3,6.1,3.6,3.8,3.2,3.7,31.3,42.52,1XTE04,1XTE04,6,6.3,5.6,3.6,5,7.7,6,8,1XTE04,8,6.03,0.55,14.61,4.63,0.29,27.94
35,1,9,9,7,3,1,5,2013,U07m,1XTE04,2,0.136,4,3,,,,,,12,0,5.4,6,5.2,5.5,4.2,6.6,3.5,5.8,42.2,77.07,1XTE04,1XTE04,3.3,5.6,3.6,6.6,5.8,4.7,7.7,6,1XTE04,8,5.41,0.92,8.66,7.96,0.8,9.99
36,1,9,9,8,3,1,5.8,2013,U07m,1XTE04,2,0.184,4.4,3.8,,,,,,12,0,4.8,7.9,4.2,9.7,3.5,7.2,5,5.5,47.77,92.1,1XTE04,1XTE04,5,3.6,6.6,1.8,9.2,4.4,4.7,7.7,1XTE04,8,5.38,1.08,7.41,10.81,1,8.03
37,1,9,9,13,6,3,0,2013,U07m,1XTE04,NA,0,,,,,,,,27,0,0,0,0,0,0,0,0,0,0,0,1XTE04,1XTE04,5.7,0,8.9,7.5,0,5.1,2.9,8.3,1XTE04,6,4.8,0,0,0,0,0
38,1,9,9,14,6,3,0,2013,U07m,1XTE04,NA,0,,,,,,,,27,0,0,0,0,0,0,0,0,0,0,0,1XTE04,1XTE04,0,8.9,7.5,8.2,0,6.7,5.1,2.9,1XTE04,6,4.91,0,0,0,0,0
39,1,9,9,15,6,3,0,2013,U07m,1XTE04,NA,0,,,,,,,,27,0,0,0,0,0,0,0,0,0,0,0,1XTE04,1XTE04,0,7.5,8.2,9.9,2.9,5,6.7,5.1,1XTE04,7,5.66,0,0,0,0,0
40,1,9,9,16,6,3,2.9,2013,U07m,1XTE04,1,0.046,2.9,,,,,,,27,0,9,3.3,2,12.7,3.6,12.7,3.3,3.8,50.59,86.37,1XTE04,1XTE04,0,8.2,9.9,0,4.3,0,5,6.7,1XTE04,5,4.26,0.68,11.76,2.33,0.27,30.16
41,1,9,9,1,8,2,2.4,2013,U07m,1XTE04,1,0.031,2.4,,,,,,,40,2,9,12.7,9,12.7,9,2.9,2,12.7,70.07,222.71,1XTE04,1XTE04,0,0,0,0,0,8.1,8.5,0,1XTE04,2,2.08,1.16,6.92,0.58,0.33,23.93
42,1,9,9,2,8,2,0,2013,U07m,1XTE04,NA,0,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,1XTE04,1XTE04,2.4,0,0,0,1.5,7.4,8.1,8.5,1XTE04,5,3.49,0,0,0,0,0
43,1,9,9,3,8,2,1.5,2013,U07m,1XTE04,1,0.012,1.5,,,,,,,40,0,9,12.7,9,12.7,3.5,2,1.5,2,52.39,147.94,1XTE04,1XTE04,0,0,0,0,2.4,8.2,7.4,8.1,1XTE04,4,3.26,0.46,17.4,1.2,0.09,85.94
44,1,9,9,4,8,2,2.4,2013,U07m,1XTE04,1,0.031,2.4,,,,,,,40,0,5.5,12.7,9,2.8,2.6,12.7,2,3.1,50.5,105.87,1XTE04,1XTE04,1.5,0,0,8.6,6,0,8.2,7.4,1XTE04,5,3.96,0.61,13.21,2.9,0.2,40.66
45,1,9,9,9,1,4,0,2013,U07m,2XT4E04,NA,0,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,4.7,4.4,6,0,0,0,0,2XT4E04,3,1.89,0,0,0,0,0
46,1,9,9,10,1,4,0,2013,U07m,2XT4E04,NA,0,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,4.4,6,8.2,0,0,0,0,2XT4E04,3,2.33,0,0,0,0,0
47,1,9,9,11,1,4,0,2013,U07m,2XT4E04,NA,0,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,6,8.2,7.7,0,0,0,0,2XT4E04,3,2.74,0,0,0,0,0
48,1,9,9,12,1,4,0,2013,U07m,2XT4E04,NA,0,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,8.2,7.7,0,8.7,0,0,0,2XT4E04,3,3.07,0,0,0,0,0
49,1,9,9,5,5,1,0,2013,U07m,2XT4E04,NA,0,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,10.2,0,5.7,7.9,0,5.6,6.3,0,2XT4E04,5,4.46,0,0,0,0,0
50,1,9,9,6,5,1,0,2013,U07m,2XT4E04,NA,0,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,5.7,7.9,6.9,0,3.6,5.6,6.3,2XT4E04,6,4.5,0,0,0,0,0
51,1,9,9,7,5,1,0,2013,U07m,2XT4E04,NA,0,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,7.9,6.9,6.1,0,6.6,3.6,5.6,2XT4E04,6,4.59,0,0,0,0,0
52,1,9,9,8,5,1,0,2013,U07m,2XT4E04,NA,0,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,6.9,6.1,2.5,4.8,1.8,6.6,3.6,2XT4E04,7,4.04,0,0,0,0,0
53,1,9,9,5,7,2,0,2013,U07m,2XT4E04,NA,0,,,,,,,,32,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,8.2,2.4,6,2.6,0,7.9,5.7,0,2XT4E04,6,4.1,0,0,0,0,0
54,1,9,9,6,7,2,0,2013,U07m,2XT4E04,NA,0,,,,,,,,32,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,6,2.6,2.2,3.9,6.9,7.9,5.7,2XT4E04,7,4.4,0,0,0,0,0
55,1,9,9,7,7,2,3.9,2013,U07m,2XT4E04,1,0.083,3.9,,,,,,,32,0,9,7.6,5.8,5.4,5.1,5,3.3,4.2,45.29,93.37,2XT4E04,2XT4E04,0,2.6,2.2,5.3,3,6.1,6.9,7.9,2XT4E04,7,4.25,0.92,8.72,7.01,0.62,12.88
56,1,9,9,8,7,2,3,2013,U07m,2XT4E04,3,0.051,2.6,1.3,0.9,,,,,32,0,3.9,7.3,3.3,3.7,3.5,6.9,3,3.9,35.49,52.74,2XT4E04,2XT4E04,3.9,2.2,5.3,7.3,4.7,2.5,6.1,6.9,2XT4E04,8,4.86,0.62,12.97,5.87,0.34,23.84
57,1,9,9,9,10,3,3.6,2013,U07m,2XT4E04,2,0.071,2.7,2.4,,,,,,48,0,4.9,3.6,9,4.1,9,4.2,3.8,3.6,42.14,73.69,2XT4E04,2XT4E04,3,9.2,0,7.6,0,7.2,5,9.3,2XT4E04,6,5.16,0.7,11.47,3.67,0.33,24.28
58,1,9,9,10,10,3,0,2013,U07m,2XT4E04,NA,0,,,,,,,,48,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,3.6,0,7.6,7.7,4,3.4,7.2,5,2XT4E04,7,4.81,0,0,0,0,0
59,1,9,9,11,10,3,4,2013,U07m,2XT4E04,2,0.089,3.1,2.6,,,,,,48,0,9,4.4,3.1,4.1,9,6.4,4.9,4.5,45.38,89.89,2XT4E04,2XT4E04,0,7.6,7.7,8.3,0,4,3.4,7.2,2XT4E04,6,4.78,0.84,9.55,4.26,0.48,16.58
60,1,9,9,12,10,3,0,2013,U07m,2XT4E04,NA,0,,,,,,,,48,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,4,7.7,8.3,4.4,2,7.2,4,3.4,2XT4E04,8,5.13,0,0,0,0,0
61,1,9,9,1,2,1,9.4,2013,U07m,80XAA04,1,0.482,9.4,,,,,,,10,0,9,12.7,4.6,6.7,5.2,9.5,5.6,12.7,66.16,187.05,80XAA04,80XAA04,0,0,8.9,8.4,6.8,3.2,5.6,0,80XAA04,5,4.11,2.29,3.5,8.17,2.97,2.69
62,1,9,9,2,2,1,6.8,2013,U07m,80XAA04,1,0.252,6.8,,,,,,,10,0,3.8,5.5,4,6.5,4.6,5.8,6.1,7,43.36,81.66,80XAA04,80XAA04,9.4,8.9,8.4,6.6,6.4,8,3.2,5.6,80XAA04,8,7.06,0.96,8.31,8.58,0.86,9.26
63,1,9,9,3,2,1,6.4,2013,U07m,80XAA04,1,0.223,6.4,,,,,,,10,0,4.4,5.5,4.4,5.3,6.1,7.8,4,8.5,46,89.87,80XAA04,80XAA04,6.8,8.4,6.6,9.1,3,4,8,3.2,80XAA04,8,6.14,1.04,7.67,9.91,0.96,8.36
64,1,9,9,4,2,1,3,2013,U07m,80XAA04,1,0.049,3,,,,,,,10,0,2.9,4,2.2,4.2,2.5,4.3,3.9,3.5,27.45,32.15,80XAA04,80XAA04,6.4,6.6,9.1,6,8,5.8,4,8,80XAA04,8,6.74,0.45,17.97,3.77,0.19,42.33
65,1,9,9,17,2,5,6.1,2013,U07m,80XAA04,2,0.204,4.8,3.8,,,,,,6,0,9,6.3,4,6.2,4.6,5,4.4,5.2,44.73,88.47,80XAA04,80XAA04,0,6.2,7.5,6.5,5.9,9.3,6.3,8.9,80XAA04,7,6.33,0.96,8.3,6.08,0.79,10.14
66,1,9,9,18,2,5,5.9,2013,U07m,80XAA04,1,0.19,5.9,,,,,,,6,0,4.4,5.6,4.3,6.9,3.7,5.4,3.5,6.2,39.95,67.6,80XAA04,80XAA04,6.1,7.5,6.5,5,8.6,7.9,9.3,6.3,80XAA04,8,7.15,0.83,9.69,6.85,0.66,12.16
67,1,9,9,19,2,5,8.6,2013,U07m,80XAA04,5,0.402,5.4,4.2,4,3,1.4,,,6,0,5.3,7.2,5.7,6.8,4.7,8.7,4.7,6.1,49.28,103.72,80XAA04,80XAA04,5.9,6.5,5,7.4,8,4,7.9,9.3,80XAA04,8,6.75,1.27,6.28,10.9,1.53,5.22
68,1,9,9,20,2,5,8,2013,U07m,80XAA04,1,0.349,8,,,,,,,6,0,4.3,7.8,4.7,12.7,9,12.7,6,6.4,63.71,177.4,80XAA04,80XAA04,8.6,5,7.4,0,0,0,4,7.9,80XAA04,5,4.11,1.95,4.11,6.62,2.21,3.63
69,1,9,9,9,3,4,9.2,2013,U07m,80XAA04,3,0.457,8.1,3.6,2.3,,,,,13,0,5.5,7.4,7.5,9.8,5.9,7.7,6.1,8.4,58.39,147.96,80XAA04,80XAA04,5.8,6.6,1.8,2.7,4.9,6,4.4,4.7,80XAA04,8,4.61,1.99,4.01,18.96,3.58,2.24
70,1,9,9,10,3,4,4.9,2013,U07m,80XAA04,1,0.131,4.9,,,,,,,13,0,3.1,9.3,5.8,12.7,9,4.8,4,6.7,55.48,134.97,80XAA04,80XAA04,9.2,1.8,2.7,0,0,8.2,6,4.4,80XAA04,6,4.04,1.21,6.59,7.6,0.88,9.07
71,1,9,9,11,3,4,0,2013,U07m,80XAA04,NA,0,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,80XAA04,80XAA04,4.9,2.7,0,0,10.1,7.7,8.2,6,80XAA04,6,4.95,0,0,0,0,0
72,1,9,9,12,3,4,10.1,2013,U07m,80XAA04,2,0.556,9.7,2.8,,,,,,13,0,9,12.7,9,8.5,5.3,12.7,5.1,7,69.33,205.51,80XAA04,80XAA04,0,0,0,5.1,7.1,0,7.7,8.2,80XAA04,4,3.51,2.88,2.78,5.95,4.02,1.99
73,1,9,9,5,9,2,8.6,2013,U07m,80XAA04,1,0.403,8.6,,,,,,,42,0,9,6.2,5.8,8.9,4.5,9.8,5.3,10,59.39,148.83,80XAA04,80XAA04,0,9,4.8,3.7,8.7,2.6,6,2.4,80XAA04,7,4.65,1.85,4.33,14.38,2.45,3.27
74,1,9,9,6,9,2,8.7,2013,U07m,80XAA04,1,0.413,8.7,,,,,,,42,0,4.5,8.2,6.3,8.3,4.8,10.2,6.9,7.5,56.82,137.01,80XAA04,80XAA04,8.6,4.8,3.7,4.6,7.5,2.2,2.6,6,80XAA04,8,5,1.74,4.6,16.98,2.57,3.11
75,1,9,9,7,9,2,7.5,2013,U07m,80XAA04,1,0.307,7.5,,,,,,,42,0,4.2,8.5,5.6,9.1,4,7.5,7,9.5,55.25,126.33,80XAA04,80XAA04,8.7,3.7,4.6,3,9.3,5.3,2.2,2.6,80XAA04,8,4.93,1.52,5.25,15.53,1.83,4.37
76,1,9,9,8,9,2,9.3,2013,U07m,80XAA04,2,0.476,6.9,6.3,,,,,,42,0,5,8.5,6.8,9.2,5.9,7.1,5.7,10.3,58.49,144.76,80XAA04,80XAA04,7.5,4.6,3,3.6,5,7.3,5.3,2.2,80XAA04,8,4.81,1.93,4.14,18.06,3.29,2.43
77,1,9,9,13,9,3,7.2,2013,U07m,80XAA04,2,0.284,5.2,5,,,,,,44,0,5.8,12.7,7,12.7,4.6,7.1,4.7,7,61.74,159.77,80XAA04,80XAA04,4,0,2,0,6.8,5.7,6.5,5.9,80XAA04,6,3.86,1.86,4.29,10.05,2.36,3.39
78,1,9,9,14,9,3,6.8,2013,U07m,80XAA04,1,0.252,6.8,,,,,,,44,0,4.4,9.8,9,12.7,4.6,12.7,4.9,6.5,64.63,171.45,80XAA04,80XAA04,7.2,2,0,0,6.6,0,5.7,6.5,80XAA04,5,3.5,1.94,4.12,7.61,2.12,3.77
79,1,9,9,15,9,3,6.6,2013,U07m,80XAA04,3,0.238,5.1,3.7,2,,,,,44,0,4.4,12.7,9,12.7,5.7,8.3,9,6.8,68.69,201.94,80XAA04,80XAA04,6.8,0,0,0,3.9,3.5,0,5.7,80XAA04,4,2.49,2.65,3.02,5.71,3.28,2.44
80,1,9,9,16,9,3,3.9,2013,U07m,80XAA04,1,0.083,3.9,,,,,,,44,0,3.3,12.7,9,4.2,2.9,5,4.7,12.7,54.57,122.89,80XAA04,80XAA04,6.6,0,0,7.9,8.4,6.1,3.5,0,80XAA04,5,4.06,0.96,8.33,3.3,0.54,14.86
81,1,9,9,17,10,6,7.9,2013,U07m,80XAA04,1,0.34,7.9,,,,,,,46,0,9,7.1,4.7,7,9,7.7,4.4,8.5,57.46,145.28,80XAA04,80XAA04,0,6.2,7.3,6.4,0,5.1,8.4,3.9,80XAA04,6,4.66,1.69,4.72,8.11,2.04,3.92
82,1,9,9,18,10,6,0,2013,U07m,80XAA04,NA,0,,,,,,,,46,0,0,0,0,0,0,0,0,0,0,0,80XAA04,80XAA04,7.9,7.3,6.4,6.2,5.8,7.8,5.1,8.4,80XAA04,8,6.86,0,0,0,0,0
83,1,9,9,19,10,6,5.8,2013,U07m,80XAA04,1,0.183,5.8,,,,,,,46,0,9,6.1,4.3,6.3,5.4,4.5,3.8,6.8,46.26,95.9,80XAA04,80XAA04,0,6.4,6.2,5.9,3.8,10.6,7.8,5.1,80XAA04,7,5.72,1.01,7.9,6.78,0.82,9.75
84,1,9,9,20,10,6,3.8,2013,U07m,80XAA04,2,0.081,3,2.4,,,,,,46,0,3.6,4.8,3.5,12.7,9,12.7,2.4,4.2,52.93,128.43,80XAA04,80XAA04,5.8,6.2,5.9,0,0,0,10.6,7.8,80XAA04,5,4.54,0.84,9.55,2.76,0.41,19.4
85,1,9,9,17,1,5,6.3,2013,U07m,81XAA04,2,0.215,5.8,2.4,,,,,,5,0,3.7,12.7,4.6,6.6,3.6,12.7,9,12.7,65.69,170.58,81XAA04,81XAA04,8.9,0,6.1,5.9,9.3,0,0,0,81XAA04,4,3.77,1.67,4.79,3.49,1.34,5.99
86,1,9,9,18,1,5,9.3,2013,U07m,81XAA04,2,0.472,7.5,5.5,,,,,,5,0,5.4,7.7,5.5,6.6,4.9,12.7,9,12.7,64.49,180.84,81XAA04,81XAA04,6.3,6.1,5.9,8.6,7.9,0,0,0,81XAA04,5,4.35,2.14,3.74,6.84,2.79,2.87
87,1,9,9,19,1,5,7.9,2013,U07m,81XAA04,3,0.337,6.7,3.4,2.3,,,,,5,0,4.1,7.3,4.3,6.3,6,12.7,9,12.7,62.48,171.23,81XAA04,81XAA04,9.3,5.9,8.6,8,4,0,0,0,81XAA04,5,4.47,1.77,4.53,6.07,1.81,4.41
88,1,9,9,20,1,5,4,2013,U07m,81XAA04,1,0.087,4,,,,,,,5,0,3,4,3,12.7,9,12.7,9,12.7,66.25,197.72,81XAA04,81XAA04,7.9,8.6,8,0,0,0,0,0,81XAA04,3,3.06,1.31,6.13,1.47,0.64,12.52
