"","id","setid","longft","shortft","row","col","block","dbh","year","site","name","plot","ibap","iba","ibamai","batot","ht","stms","canker","nline","neline","eline","seline","sline","swline","wline","nwline","lineindex","areaindex","sname2","ndbh","nedbh","edbh","sedbh","sdbh","swdbh","wdbh","nwdbh","sname3","dbhc","dbha","dbhr","sdbhr1d","sdbhr2d","bar","sbar"
"127",127,9,9,9,1,7,"2",8.5,"2013","U07m","83XAA04","31",124,0.101,0.044,0.395,NA,2,0,9,12.7,7,12.7,4.6,7.1,4.3,12.7,70.25,206.83,"83XAA04",NA,NA,18,NA,75,61,86,NA,"83XAA04",4,3.3,2.58,3.11,6.78,2.88,2.78
"128",128,9,9,9,2,7,"2",8.1,"2013","U07m","83XAA04","31",21,0.035,0.039,0.355,NA,2,0,4.4,9.8,9,10.7,4.7,6.6,4.9,6,56.15,140.65,"83XAA04",79,18,NA,6,68,69,61,86,"83XAA04",7,5.4,1.5,5.33,13.99,1.64,4.89
"129",129,9,9,9,3,7,"2",7.4,"2013","U07m","83XAA04","31",116,0.068,0.033,0.299,NA,1,0,4.3,12.7,7.5,9.6,4.3,12.7,4.5,6.7,62.27,152.97,"83XAA04",75,NA,6,18,76,NA,69,61,"83XAA04",6,4.3,1.72,4.65,11.92,1.81,4.42
"130",130,9,9,9,4,7,"2",8.2,"2013","U07m","83XAA04","31",21,0.035,0.041,0.367,NA,1,0,4.7,10.8,7,7.3,9,7.5,9,6.6,61.96,166.02,"83XAA04",68,6,18,54,NA,51,NA,69,"83XAA04",6,3.81,2.15,3.72,13.89,2.87,2.79
"139",139,9,9,9,13,7,"3",8.9,"2013","U07m","83XAA04","34",33,0.047,0.048,0.43,NA,2,0,9,7.7,5.2,7.8,4.9,12.7,9,7.8,63.98,177.95,"83XAA04",NA,53,59,51,69,NA,NA,51,"83XAA04",5,3.91,2.27,3.52,7.19,3.2,2.5
"140",140,9,9,9,14,7,"3",7.5,"2013","U07m","83XAA04","34",192,0.025,0.034,0.305,NA,2,0,4.1,6.8,5.1,12.7,4.3,12.7,9,12.7,67.53,183.48,"83XAA04",83,59,51,NA,76,NA,NA,NA,"83XAA04",4,3.66,2.05,3.91,4.23,2.03,3.93
"141",141,9,9,9,15,7,"3",8.2,"2013","U07m","83XAA04","34",84,0.06,0.04,0.364,NA,2,0,4.7,7.5,9,8.9,4.1,9.4,9,12.7,65.34,182.74,"83XAA04",69,51,NA,29,91,23,NA,NA,"83XAA04",5,3.69,2.22,3.6,8.53,2.59,3.08
"142",142,9,9,9,16,7,"3",9.9,"2013","U07m","83XAA04","34",102,0.108,0.059,0.534,NA,2,0,4.9,12.7,6.6,7.9,9,8.9,7,12.7,69.74,199.2,"83XAA04",76,NA,29,55,NA,37,23,NA,"83XAA04",5,3.12,3.17,2.53,11.37,5.46,1.47
"185",185,9,9,9,17,9,"6",8.4,"2013","U07m","83XAA04","45",98,0.073,0.043,0.385,NA,2,0,6.1,12.7,4.6,12.7,5.6,7.1,5.2,9,63.17,157.94,"83XAA04",33,NA,73,NA,45,60,55,29,"83XAA04",6,4.14,2.03,3.94,9.91,2.87,2.79
"186",186,9,9,9,18,9,"6",5.1,"2013","U07m","83XAA04","45",11,0,0.016,0.143,NA,4,0,3.4,5,9,6,3.6,12.7,3.9,5.8,49.35,97,"83XAA04",78,73,NA,52,72,NA,60,55,"83XAA04",6,5.33,0.96,8.35,4.39,0.68,11.85
"187",187,9,9,9,19,9,"6",7.8,"2013","U07m","83XAA04","45",79,0.053,0.037,0.333,NA,2,0,5.4,12.7,5.2,8.6,3.8,8.1,9,6.9,59.67,146.65,"83XAA04",45,NA,52,32,13,39,NA,60,"83XAA04",6,4.55,1.71,4.67,8.58,1.94,4.11
"188",188,9,9,9,20,9,"6",10.6,"2013","U07m","83XAA04","45",58,0.079,0.067,0.607,NA,5,0,5.2,8.2,6.6,12.7,7.5,9.8,6.3,12.7,69.11,197.41,"83XAA04",72,52,32,NA,16,25,39,NA,"83XAA04",6,3.4,3.12,2.57,16.57,6.26,1.28
