id,setid,longft,shortft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,canker,nline,neline,eline,seline,sline,swline,wline,nwline,lineindex,areaindex,sname2,ndbh,nedbh,edbh,sedbh,sdbh,swdbh,wdbh,nwdbh,sname3,dbhc,dbha,dbhr,sdbhr1d,sdbhr2d,bar,sbar
11,9,9,9,11,1,4,NA,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,NA,6,8.2,7.7,NA,NA,NA,NA,2XT4E04,3,2.74,0,0,0,0,0
12,9,9,9,12,1,4,NA,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,NA,8.2,7.7,NA,8.7,NA,NA,NA,2XT4E04,3,3.07,0,0,0,0,0
13,9,9,9,13,1,4,8.7,2013,U07m,83XAA04,4,34%,0.105,0.046,0.414,NA,4,0,9,6.8,9,7.8,4.2,12.7,9,12.7,71.24,220,83XAA04,NA,7.7,NA,5.5,9.8,NA,NA,NA,83XAA04,3,2.88,3.03,2.64,3.6,3.26,2.45
14,9,9,9,14,1,4,9.8,2013,U07m,83XAA04,4,32%,0.127,0.058,0.52,NA,3,0,4.8,12.7,5.8,9.8,4.6,12.7,9,12.7,72.13,206.49,83XAA04,8.7,NA,5.5,2.9,9.4,NA,NA,NA,83XAA04,4,3.31,2.96,2.7,7.33,3.79,2.11
15,9,9,9,15,1,4,9.4,2013,U07m,83XAA04,4,21%,0.083,0.053,0.478,NA,3,0,4.4,8,6.9,12.7,4.6,12.7,9,12.7,71.12,205.42,83XAA04,9.8,5.5,2.9,NA,8.9,NA,NA,NA,83XAA04,4,3.39,2.77,2.88,6.97,3.3,2.42
16,9,9,9,16,1,4,8.9,2013,U07m,83XAA04,4,26%,0.09,0.048,0.432,NA,2,0,4.4,9.6,9,7.6,5.3,12.7,9,12.7,70.25,207.91,83XAA04,9.4,2.9,NA,6.1,6.3,NA,NA,NA,83XAA04,4,3.09,2.88,2.78,6.89,3.65,2.19
17,9,9,9,17,1,5,6.3,2013,U07m,81XAA04,5,20%,0.036,0.024,0.215,NA,2,0,3.7,12.7,4.6,6.6,3.6,12.7,9,12.7,65.69,170.58,81XAA04,8.9,NA,6.1,5.9,9.3,NA,NA,NA,81XAA04,4,3.77,1.67,4.79,3.49,1.34,5.99
18,9,9,9,18,1,5,9.3,2013,U07m,81XAA04,5,26%,0.096,0.052,0.472,NA,2,0,5.4,7.7,5.5,6.6,4.9,12.7,9,12.7,64.49,180.84,81XAA04,6.3,6.1,5.9,8.6,7.9,NA,NA,NA,81XAA04,5,4.35,2.14,3.74,6.84,2.79,2.87
19,9,9,9,19,1,5,7.9,2013,U07m,81XAA04,5,24%,0.065,0.037,0.337,NA,3,0,4.1,7.3,4.3,6.3,6,12.7,9,12.7,62.48,171.23,81XAA04,9.3,5.9,8.6,8,4,NA,NA,NA,81XAA04,5,4.47,1.77,4.53,6.07,1.81,4.41
20,9,9,9,20,1,5,4,2013,U07m,81XAA04,5,17%,0.013,0.01,0.087,NA,1,0,3,4,3,6.5,9,12.7,9,12.7,60.05,171.41,81XAA04,7.9,8.6,8,3.8,NA,NA,NA,NA,81XAA04,4,3.54,1.13,7.08,2.52,0.6,13.43
21,9,9,9,21,1,NA,NA,2013,U07m,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,4,8,3.8,NA,NA,NA,NA,NA,NA,3,1.98,0,0,0,0,0
22,9,9,9,1,2,1,9.4,2013,U07m,80XAA04,10,28%,0.106,0.054,0.482,NA,1,0,9,12.7,4.6,6.7,5.2,9.5,5.6,12.7,66.16,187.05,80XAA04,NA,NA,8.9,8.4,6.8,3.2,5.6,NA,80XAA04,5,4.11,2.29,3.5,8.17,2.97,2.69
23,9,9,9,2,2,1,6.8,2013,U07m,80XAA04,10,28%,0.056,0.028,0.252,NA,1,0,3.8,5.5,4,6.5,4.6,5.8,6.1,7,43.36,81.66,80XAA04,9.4,8.9,8.4,6.6,6.4,8,3.2,5.6,80XAA04,8,7.06,0.96,8.31,8.58,0.86,9.26
24,9,9,9,3,2,1,6.4,2013,U07m,80XAA04,10,26%,0.046,0.025,0.223,NA,1,0,4.4,5.5,4.4,5.3,6.1,7.8,4,8.5,46,89.87,80XAA04,6.8,8.4,6.6,9.1,3,4,8,3.2,80XAA04,8,6.14,1.04,7.67,9.91,0.96,8.36
25,9,9,9,4,2,1,3,2013,U07m,80XAA04,10,15%,0.006,0.005,0.049,NA,1,0,2.9,4,2.2,4.2,2.5,4.3,3.9,3.5,27.45,32.15,80XAA04,6.4,6.6,9.1,6,8,5.8,4,8,80XAA04,8,6.74,0.45,17.97,3.77,0.19,42.33
26,9,9,9,5,2,1,8,2013,U07m,84XAA04,9,28%,0.076,0.039,0.347,NA,4,0,6.5,6,5.1,9,5.1,7.8,5.2,8.5,53.33,121.35,84XAA04,3,9.1,6,3.3,6,5,5.8,4,84XAA04,8,5.28,1.52,5.28,13.62,2.05,3.9
27,9,9,9,6,2,1,6,2013,U07m,84XAA04,9,23%,0.037,0.022,0.196,NA,1,0,3.9,6.4,5.8,6.9,3.9,5.2,4.9,6.5,43.49,81.98,84XAA04,8,6,3.3,5,7.7,8.7,5,5.8,84XAA04,8,6.19,0.97,8.25,8.47,0.87,9.15
28,9,9,9,7,2,1,7.7,2013,U07m,84XAA04,9,16%,0.044,0.036,0.327,NA,3,0,5.1,8.9,5.5,7.3,5.6,12.7,4.2,7.7,56.94,130.97,84XAA04,6,3.3,5,5.8,4.7,NA,8.7,5,84XAA04,7,4.81,1.6,5,10.55,2.08,3.85
29,9,9,9,8,2,1,4.7,2013,U07m,84XAA04,9,28%,0.027,0.014,0.122,NA,2,0,3.4,6.2,4,4.3,4.6,12.7,9,4.5,48.75,110.43,84XAA04,7.7,5,5.8,9.2,4.4,NA,NA,8.7,84XAA04,6,5.1,0.92,8.68,4.48,0.59,13.47
30,9,9,9,9,2,4,4.4,2013,U07m,18XAG04,8,31%,0.026,0.012,0.107,NA,2,0,4.4,5.5,2.9,6,3.8,12.7,9,12.7,57.04,146.12,18XAG04,4.7,5.8,9.2,4.9,6,NA,NA,NA,18XAG04,5,3.83,1.15,6.95,3.8,0.77,10.35
31,9,9,9,10,2,4,6,2013,U07m,18XAG04,8,23%,0.037,0.022,0.196,NA,1,0,5.2,5,5,12.7,3.8,12.7,9,12.7,66.16,178.91,18XAG04,4.4,9.2,4.9,NA,8.2,NA,NA,NA,18XAG04,4,3.34,1.8,4.45,3.97,1.48,5.42
32,9,9,9,11,2,4,8.2,2013,U07m,18XAG04,8,22%,0.066,0.041,0.367,NA,2,0,5.2,8,9,5.7,4.6,12.7,9,12.7,66.96,192.77,18XAG04,6,4.9,NA,1NA.1,7.7,NA,NA,NA,18XAG04,4,3.59,2.29,3.5,4.92,2.43,3.29
33,9,9,9,12,2,4,7.7,2013,U07m,18XAG04,8,17%,0.046,0.036,0.325,NA,2,0,4.4,12.7,3.9,6.6,9,6,9,12.7,64.31,165.46,18XAG04,8.2,NA,1NA.1,7.1,NA,8.7,NA,NA,18XAG04,4,4.26,1.81,4.43,3.67,1.61,4.98
34,9,9,9,13,2,4,NA,2013,U07m,81XAA04,7,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,81XAA04,7.7,1NA.1,7.1,7.3,5.5,9.8,8.7,NA,81XAA04,7,7.03,0,0,0,0,0
35,9,9,9,14,2,4,5.5,2013,U07m,81XAA04,7,43%,0.05,0.018,0.165,NA,1,0,9,5.6,3.9,6,5.9,4.7,3.2,4.9,43.16,82.41,81XAA04,NA,7.1,7.3,6.2,2.9,9.4,9.8,8.7,81XAA04,7,6.43,0.86,9.35,6.09,0.59,13.57
36,9,9,9,15,2,4,2.9,2013,U07m,81XAA04,7,7%,0.003,0.005,0.046,NA,1,0,3.1,3.6,2.9,4.1,9,3.1,2.1,2.9,30.81,42.34,81XAA04,5.5,7.3,6.2,6.2,NA,8.9,9.4,9.8,81XAA04,7,6.66,0.44,18.38,2.79,0.16,50.42
37,9,9,9,16,2,4,NA,2013,U07m,81XAA04,7,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,81XAA04,2.9,6.2,6.2,7.5,6.1,6.3,8.9,9.4,81XAA04,8,6.69,0,0,0,0,0
38,9,9,9,17,2,5,6.1,2013,U07m,80XAA04,6,24%,0.039,0.023,0.204,NA,2,0,9,6.3,4,6.2,4.6,5,4.4,5.2,44.73,88.47,80XAA04,NA,6.2,7.5,6.5,5.9,9.3,6.3,8.9,80XAA04,7,6.33,0.96,8.3,6.08,0.79,10.14
39,9,9,9,18,2,5,5.9,2013,U07m,80XAA04,6,19%,0.031,0.021,0.19,NA,1,0,4.4,5.6,4.3,6.9,3.7,5.4,3.5,6.2,39.95,67.6,80XAA04,6.1,7.5,6.5,5,8.6,7.9,9.3,6.3,80XAA04,8,7.15,0.83,9.69,6.85,0.66,12.16
40,9,9,9,19,2,5,8.6,2013,U07m,80XAA04,6,10%,0.038,0.045,0.402,NA,5,0,5.3,7.2,5.7,6.8,4.7,8.7,4.7,6.1,49.28,103.72,80XAA04,5.9,6.5,5,7.4,8,4,7.9,9.3,80XAA04,8,6.75,1.27,6.28,10.9,1.53,5.22
41,9,9,9,20,2,5,8,2013,U07m,80XAA04,6,38%,0.097,0.039,0.349,NA,1,0,4.3,7.8,4.7,6.1,6.1,12.7,6,6.4,54.14,125.91,80XAA04,8.6,5,7.4,8.8,3.8,NA,4,7.9,80XAA04,7,5.69,1.41,5.69,9.64,1.58,5.06
42,9,9,9,21,2,NA,3.8,2013,U07m,NM6,NA,21%,0.014,0.009,0.077,NA,2,0,2.9,4.3,2.7,12.7,9,12.7,9,6.2,59.59,168.37,NM6,8,7.4,8.8,NA,NA,NA,NA,4,NM6,4,3.53,1.08,7.42,2.37,0.54,14.7
43,9,9,9,1,3,1,8.9,2013,U07m,83XAA04,11,45%,0.134,0.048,0.433,NA,4,0,9,12.7,9,8.5,4.6,7.2,4.4,12.7,68.2,205.22,83XAA04,NA,NA,NA,4.4,8.4,6.8,9.4,NA,83XAA04,4,3.63,2.46,3.26,5.34,2.82,2.83
44,9,9,9,2,3,1,8.4,2013,U07m,83XAA04,11,8%,0.028,0.043,0.387,NA,3,0,4.4,12.7,5.9,12.7,5,7.2,5,6,58.98,140.92,83XAA04,8.9,NA,4.4,NA,6.6,6.4,6.8,9.4,83XAA04,6,5.31,1.58,5.06,7.57,1.78,4.5
45,9,9,9,3,3,1,6.6,2013,U07m,83XAA04,11,15%,0.032,0.027,0.24,NA,2,0,4,7.6,9,12.7,3.8,8.8,4.6,6.3,56.7,137.26,83XAA04,8.4,4.4,NA,NA,9.1,3,6.4,6.8,83XAA04,6,4.76,1.39,5.77,7.21,1.3,6.17
46,9,9,9,4,3,1,9.1,2013,U07m,83XAA04,11,10%,0.042,0.05,0.448,NA,3,0,5.2,12.7,9,7.5,5.4,6.8,6.8,7.5,60.9,163.19,83XAA04,6.6,NA,NA,6.3,6,8,3,6.4,83XAA04,6,4.54,2.01,3.99,9.93,2.84,2.82
47,9,9,9,5,3,1,6,2013,U07m,1XTE04,12,12%,0.021,0.022,0.194,NA,3,0,3.6,12.7,4.4,6.6,5.8,6.4,3.9,8.5,51.79,103.63,1XTE04,9.1,NA,6.3,5.6,3.3,6,8,3,1XTE04,7,5.16,1.16,6.88,8.25,1.05,7.6
48,9,9,9,6,3,1,3.3,2013,U07m,1XTE04,12,0%,0,0.007,0.059,NA,1,0,3.2,4.4,3.3,6.1,3.6,3.8,3.2,3.7,31.3,42.52,1XTE04,6,6.3,5.6,3.6,5,7.7,6,8,1XTE04,8,6.03,0.55,14.61,4.63,0.29,27.94
49,9,9,9,7,3,1,5,2013,U07m,1XTE04,12,7%,0.009,0.015,0.136,NA,2,0,5.4,6,5.2,5.5,4.2,6.6,3.5,5.8,42.2,77.07,1XTE04,3.3,5.6,3.6,6.6,5.8,4.7,7.7,6,1XTE04,8,5.41,0.92,8.66,7.96,0.8,9.99
50,9,9,9,8,3,1,5.8,2013,U07m,1XTE04,12,0%,0,0.02,0.184,NA,2,0,4.8,7.9,4.2,9.7,3.5,7.2,5,5.5,47.77,92.1,1XTE04,5,3.6,6.6,1.8,9.2,4.4,4.7,7.7,1XTE04,8,5.38,1.08,7.41,10.81,1,8.03
51,9,9,9,9,3,4,9.2,2013,U07m,80XAA04,13,12%,0.049,0.051,0.457,NA,3,0,5.5,7.4,7.5,9.8,5.9,7.7,6.1,8.4,58.39,147.96,80XAA04,5.8,6.6,1.8,2.7,4.9,6,4.4,4.7,80XAA04,8,4.61,1.99,4.01,18.96,3.58,2.24
52,9,9,9,10,3,4,4.9,2013,U07m,80XAA04,13,13%,0.016,0.015,0.131,NA,1,0,3.1,9.3,5.8,12.7,9,4.8,4,6.7,55.48,134.97,80XAA04,9.2,1.8,2.7,NA,NA,8.2,6,4.4,80XAA04,6,4.04,1.21,6.59,7.6,0.88,9.07
53,9,9,9,11,3,4,NA,2013,U07m,80XAA04,13,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,80XAA04,4.9,2.7,NA,NA,1NA.1,7.7,8.2,6,80XAA04,6,4.95,0,0,0,0,0
54,9,9,9,12,3,4,10.1,2013,U07m,80XAA04,13,15%,0.071,0.062,0.556,NA,2,0,9,12.7,9,8.5,5.3,12.7,5.1,7,69.33,205.51,80XAA04,NA,NA,NA,5.1,7.1,NA,7.7,8.2,80XAA04,4,3.51,2.88,2.78,5.95,4.02,1.99
55,9,9,9,13,3,4,7.1,2013,U07m,82XAA04,14,29%,0.061,0.03,0.273,NA,3,0,3.7,12.7,5.2,12.7,4.4,7.2,9,6.1,61.12,145.35,82XAA04,1NA.1,NA,5.1,NA,7.3,5.5,NA,7.7,82XAA04,5,4.46,1.59,5.03,5.28,1.49,5.37
56,9,9,9,14,3,4,7.3,2013,U07m,82XAA04,14,18%,0.045,0.032,0.291,NA,2,0,4.6,7.5,9,6.5,4.9,9.1,5.1,12.7,59.34,143.4,82XAA04,7.1,5.1,NA,7.1,6.2,2.9,5.5,NA,82XAA04,6,4.24,1.72,4.64,8.51,2.09,3.83
57,9,9,9,15,3,4,6.2,2013,U07m,82XAA04,14,25%,0.042,0.024,0.213,NA,2,0,4.1,12.7,4.2,5.7,4.5,12.7,6.1,6.7,56.84,127.26,82XAA04,7.3,NA,7.1,7.7,6.2,NA,2.9,5.5,82XAA04,6,4.59,1.35,5.92,6.79,1.28,6.25
58,9,9,9,16,3,4,6.2,2013,U07m,82XAA04,14,0%,0,0.023,0.21,NA,1,0,4.5,5.9,4,8.1,4.1,6.4,9,8.7,50.74,112.17,82XAA04,6.2,7.1,7.7,3.5,7.5,6.1,NA,2.9,82XAA04,7,5.13,1.21,6.61,8.43,1.17,6.82
59,9,9,9,17,3,5,7.5,2013,U07m,83XAA04,15,11%,0.031,0.034,0.306,NA,2,0,4.9,6.3,6.1,6,4.8,7.1,5,12.7,52.98,116.97,83XAA04,6.2,7.7,3.5,8.4,6.5,5.9,6.1,NA,83XAA04,7,5.54,1.35,5.91,8.87,1.53,5.24
60,9,9,9,18,3,5,6.5,2013,U07m,83XAA04,15,3%,0.007,0.026,0.23,NA,1,0,4.2,8.3,3.9,6.6,5.1,5.5,4.7,6.6,44.79,84.27,83XAA04,7.5,3.5,8.4,6.1,5,8.6,5.9,6.1,83XAA04,8,6.39,1.02,7.86,8.79,0.97,8.22
61,9,9,9,19,3,5,5,2013,U07m,83XAA04,15,9%,0.011,0.015,0.136,NA,1,0,3.9,4.7,4.1,5.9,3.6,4.9,3.3,5.8,36.34,56.45,83XAA04,6.5,8.4,6.1,5.7,7.4,8,8.6,5.9,83XAA04,8,7.08,0.71,11.32,5.79,0.49,16.4
62,9,9,9,20,3,5,7.4,2013,U07m,83XAA04,15,26%,0.061,0.033,0.295,NA,2,0,5.4,7,5.1,6.2,4.1,8.4,4.3,5.9,46.4,91.33,83XAA04,5,6.1,5.7,7.7,8.8,3.8,8,8.6,83XAA04,8,6.71,1.1,7.26,9.53,1.14,7.01
63,9,9,9,21,3,NA,8.8,2013,U07m,NM6,NA,6%,0.025,0.047,0.422,NA,3,2,4.9,7.7,4.8,12.7,9,12.7,6.3,6.7,64.82,183.69,NM6,7.4,5.7,7.7,NA,NA,NA,3.8,8,NM6,5,4.08,2.16,3.7,7.29,2.75,2.91
64,9,9,9,1,4,1,NA,2013,U07m,85XAA04,20,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,85XAA04,NA,NA,2.7,6.9,4.4,8.4,8.9,NA,85XAA04,5,3.91,0,0,0,0,0
65,9,9,9,2,4,1,4.4,2013,U07m,85XAA04,20,10%,0.009,0.012,0.106,NA,1,0,9,7.9,3.5,6.1,9,5.1,3.1,4.2,47.88,101.56,85XAA04,NA,2.7,6.9,4.8,NA,6.6,8.4,8.9,85XAA04,6,4.79,0.92,8.7,4.87,0.57,14.01
66,9,9,9,3,4,1,NA,2013,U07m,85XAA04,20,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,85XAA04,4.4,6.9,4.8,1NA.2,NA,9.1,6.6,8.4,85XAA04,7,6.3,0,0,0,0,0
67,9,9,9,4,4,1,NA,2013,U07m,85XAA04,20,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,85XAA04,NA,4.8,1NA.2,NA,6.3,6,9.1,6.6,85XAA04,6,5.38,0,0,0,0,0
68,9,9,9,5,4,1,6.3,2013,U07m,18XAG04,19,5%,0.01,0.024,0.217,NA,2,0,9,4.9,9,12.7,4.8,8.4,4.6,5.2,58.52,145.61,18XAG04,NA,1NA.2,NA,NA,5.6,3.3,6,9.1,18XAG04,5,4.27,1.47,5.43,5.39,1.2,6.68
69,9,9,9,6,4,1,5.6,2013,U07m,18XAG04,19,0%,0,0.019,0.171,NA,1,0,4.2,12.7,9,12.7,5.5,6.7,5.7,6.1,62.7,172.7,18XAG04,6.3,NA,NA,NA,3.6,5,3.3,6,18XAG04,5,3.02,1.85,4.32,6.19,2.01,3.97
70,9,9,9,7,4,1,3.6,2013,U07m,18XAG04,19,0%,0,0.008,0.069,NA,2,0,3.5,12.7,9,12.7,3.2,4.9,3.8,6.6,56.44,140.22,18XAG04,5.6,NA,NA,NA,6.6,5.8,5,3.3,18XAG04,5,3.29,1.1,7.31,3.62,0.72,11.15
71,9,9,9,8,4,1,6.6,2013,U07m,18XAG04,19,7%,0.016,0.026,0.236,NA,2,0,5.8,12.7,9,7.4,7.1,5.3,4.8,7.2,59.34,158.05,18XAG04,3.6,NA,NA,4.8,1.8,9.2,5.8,5,18XAG04,6,3.77,1.75,4.58,10.05,1.91,4.19
72,9,9,9,9,4,4,1.8,2013,U07m,85XAA04,18,0%,0,0.002,0.018,NA,1,0,1.9,12.7,2.5,3.8,3.6,3.4,1.5,3,32.37,37.52,85XAA04,6.6,NA,4.8,4.3,2.7,4.9,9.2,5.8,85XAA04,7,4.79,0.38,21.28,2.61,0.11,72.43
73,9,9,9,10,4,4,2.7,2013,U07m,85XAA04,18,0%,0,0.004,0.04,NA,1,0,5.4,4.6,3.5,2.8,9,12.7,3.2,2.9,44.04,90.26,85XAA04,1.8,4.8,4.3,9.7,NA,NA,4.9,9.2,85XAA04,6,4.34,0.62,12.85,3.81,0.24,33.95
74,9,9,9,11,4,4,NA,2013,U07m,85XAA04,18,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,85XAA04,2.7,4.3,9.7,8.3,NA,1NA.1,NA,4.9,85XAA04,6,5,0,0,0,0,0
75,9,9,9,12,4,4,NA,2013,U07m,85XAA04,18,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,85XAA04,NA,9.7,8.3,2.9,5.1,7.1,1NA.1,NA,85XAA04,6,5.4,0,0,0,0,0
76,9,9,9,13,4,5,5.1,2013,U07m,84XAA04,17,15%,0.018,0.016,0.14,NA,2,0,9,4.8,5.7,6.4,9,5.2,3.8,4.3,48.21,101.29,84XAA04,NA,8.3,2.9,5.1,NA,7.3,7.1,1NA.1,84XAA04,6,5.1,1,8,5.29,0.67,11.88
77,9,9,9,14,4,5,NA,2013,U07m,84XAA04,17,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,84XAA04,5.1,2.9,5.1,6.7,7.1,6.2,7.3,7.1,84XAA04,8,5.94,0,0,0,0,0
78,9,9,9,15,4,5,7.1,2013,U07m,84XAA04,17,9%,0.023,0.031,0.275,NA,1,0,9,7.4,4.6,7.5,4.3,6.8,4.8,6.3,50.7,111.87,84XAA04,NA,5.1,6.7,5,7.7,6.2,6.2,7.3,84XAA04,7,5.52,1.29,6.23,8.06,1.41,5.66
79,9,9,9,16,4,5,7.7,2013,U07m,84XAA04,17,4%,0.012,0.036,0.324,NA,3,0,4.7,6.8,5.5,12.7,6.2,6.4,5,7.1,54.34,126.37,84XAA04,7.1,6.7,5,NA,3.5,7.5,6.2,6.2,84XAA04,7,5.28,1.46,5.48,9.48,1.79,4.48
80,9,9,9,17,4,5,3.5,2013,U07m,82XAA04,16,0%,0,0.007,0.067,NA,1,0,2.8,5.2,9,6.2,2.6,4.5,2.9,4.6,37.8,65.26,82XAA04,7.7,5,NA,3.7,8.4,6.5,7.5,6.2,82XAA04,7,5.63,0.62,12.86,4.09,0.32,24.94
81,9,9,9,18,4,5,8.4,2013,U07m,82XAA04,16,24%,0.074,0.043,0.389,NA,3,0,6.4,12.7,6.2,10.4,5.2,8,5.1,6.7,60.7,154.95,82XAA04,3.5,NA,3.7,1.9,6.1,5,6.5,7.5,82XAA04,7,4.28,1.96,4.07,14.56,2.97,2.7
82,9,9,9,19,4,5,6.1,2013,U07m,82XAA04,16,10%,0.018,0.023,0.206,NA,2,0,3.8,7.9,6.9,12.7,4.7,5.8,4.9,6.2,52.81,120.19,82XAA04,8.4,3.7,1.9,NA,5.7,7.4,5,6.5,82XAA04,7,4.83,1.26,6.33,9.64,1.23,6.51
83,9,9,9,20,4,5,5.7,2013,U07m,82XAA04,16,0%,0,0.02,0.177,NA,3,0,4.3,9.5,9,5.8,3.8,5,3.9,6.8,48.18,104.67,82XAA04,6.1,1.9,NA,6.9,7.7,8.8,7.4,5,82XAA04,7,5.48,1.04,7.68,8.06,0.85,9.39
84,9,9,9,21,4,NA,7.7,2013,U07m,NM6,NA,20%,0.053,0.036,0.32,NA,2,2,5.2,12.7,4.7,12.7,9,12.7,4.2,6.5,67.79,187.4,NM6,5.7,NA,6.9,NA,NA,NA,8.8,7.4,NM6,4,3.6,2.14,3.74,4.38,2.23,3.58
85,9,9,9,1,5,1,2.7,2013,U07m,81XAA04,21,0%,0,0.004,0.04,NA,2,0,9,12.7,2,3.7,2.5,4.8,9,12.7,56.53,156.33,81XAA04,NA,NA,9.2,6.7,6.9,4.4,NA,NA,81XAA04,4,3.4,0.79,10.07,1.7,0.3,26.95
86,9,9,9,2,5,1,6.9,2013,U07m,81XAA04,21,6%,0.015,0.029,0.26,NA,1,0,6.5,5.5,4.6,6.1,5.3,12.7,5.5,12.7,58.85,145.03,81XAA04,2.7,9.2,6.7,7.5,4.8,NA,4.4,NA,81XAA04,6,4.41,1.56,5.12,8.26,1.62,4.95
87,9,9,9,3,5,1,4.8,2013,U07m,81XAA04,21,4%,0.005,0.014,0.126,NA,1,0,3.7,5.3,3.5,12.7,2.9,12.7,9,6.6,56.49,125.56,81XAA04,6.9,6.7,7.5,NA,1NA.2,NA,NA,4.4,81XAA04,5,4.46,1.08,7.44,3.61,0.68,11.81
88,9,9,9,4,5,1,10.2,2013,U07m,81XAA04,21,7%,0.038,0.063,0.566,NA,2,0,6.1,7.3,9,8.2,9,7.9,9,12.7,69.22,209.28,81XAA04,4.8,7.5,NA,5.7,NA,6.3,NA,NA,81XAA04,4,3.04,3.36,2.38,6.89,5.49,1.46
89,9,9,9,5,5,1,NA,2013,U07m,2XT4E04,22,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,1NA.2,NA,5.7,7.9,NA,5.6,6.3,NA,2XT4E04,5,4.46,0,0,0,0,0
90,9,9,9,6,5,1,NA,2013,U07m,2XT4E04,22,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,NA,5.7,7.9,6.9,NA,3.6,5.6,6.3,2XT4E04,6,4.5,0,0,0,0,0
